id,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,title,release_date,developer,genres,multiplayer_or_singleplayer,price,dc_price,overall_review,detailed_review,reviews,percent_positive,win_support,mac_support,lin_support
15594,Puzzle Guzzle,PSP,2007,Puzzle,DHM Interactive,0.02,0.0,0.0,0.0,0.02,Darkarta: A Broken Heart's Quest Standard Edition,2017-08-28,Tuttifrutti Interactive,Adventure;Casual;Indie,Single-player,219.0,219.0,Positive,Mostly Positive,14.0,78,1,1,1
15595,ESPN NFL Primetime 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02,Thing-in-Itself,2017-01-05,Party for Introverts,Adventure;Casual;Indie;Simulation,Single-player,169.0,169.0,Positive,Very Positive,85.0,80,1,1,0
15598,Red Ninja: End of Honor,XB,2005,Action,Vivendi Games,0.01,0.0,0.0,0.0,0.02,A Date in the Park,2016-07-19,Cloak and Dagger Games,Adventure,Single-player,0.0,0.0,Positive,Mostly Positive,331.0,76,1,0,0
15602,The King of Fighters Collection: The Orochi Saga (JP sales),PS2,2006,Fighting,Ignition Entertainment,0.0,0.0,0.02,0.0,0.02,Space Moth DX,2016-01-22,1CC Games,Action;Indie,Single-player,199.0,199.0,Positive,Positive,27.0,100,1,0,0
15608,James Bond 007: Blood Stone,PC,2010,Shooter,Activision,0.02,0.0,0.0,0.0,0.02,Depth Hunter 2: Deep Dive,2014-08-20,Biart Company LLC,Action;Adventure;Casual;Indie;Simulation;Sports,Single-player,810.0,810.0,Positive,Positive,13.0,92,1,0,0
15610,Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,2006,Action,Sega,0.0,0.0,0.02,0.0,0.02,Transparent Black,2017-08-24,LR Studio,Gore;Adventure;Indie;RPG,Single-player,58.0,58.0,Positive,Positive,31.0,87,1,0,0
15611,Kong: The Animated Series,GBA,2002,Action,BAM! Entertainment,0.01,0.0,0.0,0.0,0.02,Panzer Tactics HD,2014-05-22,Sproing,Simulation;Strategy,Single-player,369.0,369.0,Positive,Positive,24.0,87,1,0,0
15613,Let's Dance with Mel B,X360,2011,Sports,Black Bean Games,0.0,0.02,0.0,0.0,0.02,Yet Another Research Dog,2018-02-02,Dawntrail Entertainment,Casual;RPG;Simulation;Strategy,Single-player,42.0,42.0,Positive,Mostly Positive,41.0,70,1,1,0
15615,The Crew: Wild Run,XOne,2015,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,Zombie Derby,2018-04-20,Brinemedia,Violent;Gore;Action;Indie;Racing,Single-player,165.0,165.0,Positive,Very Positive,92.0,96,1,0,0
15617,Koisuru Otome to Shugo no Tate Portable,PSP,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02,Boid,2016-07-08,Mokus,Action;Casual;Free to Play;Indie;Strategy,Single-player,0.0,0.0,Positive,Mostly Positive,366.0,78,1,0,0
15620,Iridium Runners,PS2,2008,Racing,SouthPeak Games,0.01,0.01,0.0,0.0,0.02,iBomber Attack,2012-11-01,Cobra Mobile,Action;Adventure;Indie,Single-player,299.0,299.0,Positive,Positive,15.0,86,1,1,1
15621,Ben 10 Omniverse 2,3DS,2013,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02,Achievement Lurker: Another one bites the dust,2018-04-26,Perverse Games,Adventure;Indie;RPG,Single-player,85.0,85.0,Positive,Mostly Positive,47.0,74,1,0,0
15625,Tiny Toon Adventures: Wacky Stackers,GBA,2001,Puzzle,Conspiracy Entertainment,0.01,0.0,0.0,0.0,0.02,BAD END,2015-11-25,Arai Koh Create Office,Indie,Single-player,199.0,199.0,Positive,Positive,18.0,88,1,0,0
15628,Touch Detective (JP sales),DS,2006,Adventure,505 Games,0.0,0.0,0.02,0.0,0.02,NetStars - VR Goalie Trainer,2018-03-29,Josh Beatty;Mike Casto,Sports,Single-player,199.0,199.0,Positive,Very Positive,68.0,95,1,0,0
15632,Mai-Otome Hime: Otome Butou Shi,PS2,2006,Fighting,Sunrise Interactive,0.0,0.0,0.02,0.0,0.02,Smith and Winston,2019-01-01,Execution Unit Ltd,Action;Adventure;Indie;Early Access,Single-player,199.0,199.0,Positive,Positive,16.0,93,1,1,1
15633,Robopon 2: Cross Version,GBA,2001,Role-Playing,Hudson Entertainment,0.01,0.0,0.0,0.0,0.02,Eternal Journey: New Atlantis,2019-03-07,Five BN,Adventure;Casual;Indie,Single-player,259.0,259.0,Positive,Positive,14.0,92,1,0,0
15634,TMNT: Mutant Melee,XB,2005,Fighting,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02,Oil Enterprise,2016-04-20,Crafty Studios,Indie;Simulation;Strategy,Single-player,1169.0,1169.0,Mixed,Positive,32.0,81,1,1,1
